PLANE	DESCRIPTION	START	END	STARTDEC	ENDDEC	BLOCK	POINTS	ASSIGNED	SCRIPTS
0	Basic Multilingual Plane	HX  20A0	HX  20CF	8352	8399	Currency Symbols 	48	32	Common
0	Basic Multilingual Plane	HX  20D0	HX  20FF	8400	8447	Combining Diacritical Marks for Symbols 	48	33	Inherited
0	Basic Multilingual Plane	HX  2100	HX  214F	8448	8527	Letterlike Symbols 	80	80	Greek (1 character), Latin (4 characters), Common (75 characters)
0	Basic Multilingual Plane	HX  2150	HX  218F	8528	8591	Number Forms 	64	60	Latin (41 characters), Common (19 characters)
0	Basic Multilingual Plane	HX  2190	HX  21FF	8592	8703	Arrows 	112	112	Common
0	Basic Multilingual Plane	HX  2200	HX  22FF	8704	8959	Mathematical Operators 	256	256	Common
0	Basic Multilingual Plane	HX  2300	HX  23FF	8960	9215	Miscellaneous Technical 	256	256	Common
0	Basic Multilingual Plane	HX  2400	HX  243F	9216	9279	Control Pictures 	64	39	Common
0	Basic Multilingual Plane	HX  2440	HX  245F	9280	9311	Optical Character Recognition 	32	11	Common
0	Basic Multilingual Plane	HX  2460	HX  24FF	9312	9471	Enclosed Alphanumerics 	160	160	Common
0	Basic Multilingual Plane	HX  2500	HX  257F	9472	9599	Box Drawing 	128	128	Common
0	Basic Multilingual Plane	HX  2580	HX  259F	9600	9631	Block Elements 	32	32	Common
0	Basic Multilingual Plane	HX  25A0	HX  25FF	9632	9727	Geometric Shapes 	96	96	Common
0	Basic Multilingual Plane	HX  2600	HX  26FF	9728	9983	Miscellaneous Symbols 	256	256	Common
0	Basic Multilingual Plane	HX  2700	HX  27BF	9984	10175	Dingbats 	192	192	Common
0	Basic Multilingual Plane	HX  27C0	HX  27EF	10176	10223	Miscellaneous Mathematical Symbols-A 	48	48	Common
0	Basic Multilingual Plane	HX  27F0	HX  27FF	10224	10239	Supplemental Arrows-A 	16	16	Common
0	Basic Multilingual Plane	HX  2800	HX  28FF	10240	10495	Braille Patterns 	256	256	Braille
0	Basic Multilingual Plane	HX  2900	HX  297F	10496	10623	Supplemental Arrows-B 	128	128	Common
0	Basic Multilingual Plane	HX  2980	HX  29FF	10624	10751	Miscellaneous Mathematical Symbols-B 	128	128	Common
0	Basic Multilingual Plane	HX  2A00	HX  2AFF	10752	11007	Supplemental Mathematical Operators 	256	256	Common
0	Basic Multilingual Plane	HX  2B00	HX  2BFF	11008	11263	Miscellaneous Symbols and Arrows 	256	207	Common
0	Basic Multilingual Plane	HX  2C00	HX  2C5F	11264	11359	Glagolitic 	96	94	Glagolitic
0	Basic Multilingual Plane	HX  2C60	HX  2C7F	11360	11391	Latin Extended-C 	32	32	Latin
0	Basic Multilingual Plane	HX  2C80	HX  2CFF	11392	11519	Coptic 	128	123	Coptic
0	Basic Multilingual Plane	HX  2D00	HX  2D2F	11520	11567	Georgian Supplement 	48	40	Georgian
0	Basic Multilingual Plane	HX  2D30	HX  2D7F	11568	11647	Tifinagh 	80	59	Tifinagh
0	Basic Multilingual Plane	HX  2D80	HX  2DDF	11648	11743	Ethiopic Extended 	96	79	Ethiopic
0	Basic Multilingual Plane	HX  2DE0	HX  2DFF	11744	11775	Cyrillic Extended-A 	32	32	Cyrillic
0	Basic Multilingual Plane	HX  2E00	HX  2E7F	11776	11903	Supplemental Punctuation 	128	74	Common
0	Basic Multilingual Plane	HX  2E80	HX  2EFF	11904	12031	CJK Radicals Supplement 	128	115	Han
0	Basic Multilingual Plane	HX  2F00	HX  2FDF	12032	12255	Kangxi Radicals 	224	214	Han
0	Basic Multilingual Plane	HX  2FF0	HX  2FFF	12272	12287	Ideographic Description Characters 	16	12	Common
0	Basic Multilingual Plane	HX  3000	HX  303F	12288	12351	CJK Symbols and Punctuation 	64	64	Han (15 characters), Hangul (2 characters), Common (43 characters), Inherited (4 characters)
0	Basic Multilingual Plane	HX  3040	HX  309F	12352	12447	Hiragana 	96	93	Hiragana (89 characters), Common (2 characters), Inherited (2 characters)
0	Basic Multilingual Plane	HX  30A0	HX  30FF	12448	12543	Katakana 	96	96	Katakana (93 characters), Common (3 characters)
0	Basic Multilingual Plane	HX  3100	HX  312F	12544	12591	Bopomofo 	48	42	Bopomofo
0	Basic Multilingual Plane	HX  3130	HX  318F	12592	12687	Hangul Compatibility Jamo 	96	94	Hangul
0	Basic Multilingual Plane	HX  3190	HX  319F	12688	12703	Kanbun 	16	16	Common
0	Basic Multilingual Plane	HX  31A0	HX  31BF	12704	12735	Bopomofo Extended 	32	27	Bopomofo
0	Basic Multilingual Plane	HX  31C0	HX  31EF	12736	12783	CJK Strokes 	48	36	Common
0	Basic Multilingual Plane	HX  31F0	HX  31FF	12784	12799	Katakana Phonetic Extensions 	16	16	Katakana
0	Basic Multilingual Plane	HX  3200	HX  32FF	12800	13055	Enclosed CJK Letters and Months 	256	254	Hangul (62 characters), Katakana (47 characters), Common (145 characters)
0	Basic Multilingual Plane	HX  3300	HX  33FF	13056	13311	CJK Compatibility 	256	256	Katakana (88 characters), Common (168 characters)
0	Basic Multilingual Plane	HX  3400	HX  4DBF	13312	19903	CJK Unified Ideographs Extension A 	6,592	6,582	Han
0	Basic Multilingual Plane	HX  4DC0	HX  4DFF	19904	19967	Yijing Hexagram Symbols 	64	64	Common
