# File Name: TALLY_HO.txt
# File Size: 31207       
# File Date: 01/01/2026 19:21:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	AIONIAN	STANDARD	SOURCE
Holy-Bible---Hawaiian---Hawaiian-Bible-1868	31102	31102	31102
Holy-Bible---Hebrew---Hebrew-Aleppo-Codex	23121	23121	23190
Holy-Bible---Hebrew---Hebrew-Aleppo-Miqra-Mesorah	23142	23142	23213
Holy-Bible---Hebrew---Hebrew-Masoretic-OT	23143	23143	23213
Holy-Bible---Hebrew---Hebrew-STEPBible	23145	23145	23145
Holy-Bible---Hebrew---Hebrew-Westminster-Leningrad	23143	23143	23213
Holy-Bible---Hebrew---Hebrew-Westminster-Leningrad-Kimball	23143	23143	23212
Holy-Bible---Hebrew---Living-Bible	7726	7726	7727
Holy-Bible---Hebrew---Modern-Hebrew-Bible	31092	31092	31102
Holy-Bible---Hebrew---Salkinson-Hebrew-Bible	7956	7956	7957
Holy-Bible---Hebrew---Westminster-Leningrad-Philadelphia	23143	23143	23213
Holy-Bible---Hindi---Contemporary	31086	31086	31087
Holy-Bible---Hindi---Hindi-Bible	31102	31102	31104
Holy-Bible---Hona---Hwana-Bible	7951	7951	7955
Holy-Bible---Hre---Hre-Bible	7951	7951	7955
Holy-Bible---Hruso---Hrusso-Angka-Bible	1176	1176	1176
Holy-Bible---Hungarian---Hungarian-Jewish-Bible	23135	23135	23204
Holy-Bible---Hungarian---Hungarian-Karoli	31102	31102	31173
Holy-Bible---Hungarian---Magyar-Bible	7957	7957	7961
Holy-Bible---Icelandic---Open-Living-Word	10080	10080	10146
Holy-Bible---Igbo---Igbo-Bible	31102	31102	31103
Holy-Bible---Ikizu---Ikizu-Bible	7956	7956	7958
Holy-Bible---Ilocano---Ilocano-Bible	31076	31076	31102
Holy-Bible---Ilonggo---Hiligaynon-Free-Bible	30333	30333	30335
Holy-Bible---Indonesian---Bahasa-Indonesia-Sehari-hari	29687	29687	31102
Holy-Bible---Indonesian---For-All	7941	7941	7959
