FILE	FLAG	POST	VALUE	SOURCE	DESTINATION
Holy-Bible---Czech---Czech-Bible-Kralicka				https://ebible.org/epub/ces1613.epub	Holy-Bible---Czech---Czech-Bible-Kralicka---Source-Edition.epub
Holy-Bible---Czech---Czech-Bible-Kralicka				https://ebible.org/pdf/ces1613/ces1613_all.pdf	Holy-Bible---Czech---Czech-Bible-Kralicka---Source-Edition.pdf
Holy-Bible---Czech---Czech-Bible-Kralicka	SWORD			https://crosswire.org/ftpmirror/pub/sword/packages/rawzip/CzeBKR.zip	Holy-Bible---Czech---Czech-Bible-Kralicka---Source-Edition.SWORD.zip
Holy-Bible---Czech---Kralicka				https://ebible.org/epub/ces1613.epub	Holy-Bible---Czech---Kralicka---Source-Edition.epub
Holy-Bible---Czech---Kralicka				https://ebible.org/pdf/ces1613/ces1613_all.pdf	Holy-Bible---Czech---Kralicka---Source-Edition.pdf
Holy-Bible---Czech---Kralicka				https://ebible.org/sword/zip/ces1613eb.zip	Holy-Bible---Czech---Kralicka---Source-Edition.SWORD.zip
Holy-Bible---Czech---Kralicka				https://ebible.org/Scriptures/ces1613_vpl.zip	Holy-Bible---Czech---Kralicka---Source-Edition.VPL.zip
Holy-Bible---Czech---Living-Bible				https://ebible.org/epub/ceslb.epub	Holy-Bible---Czech---Living-Bible---Source-Edition.epub
Holy-Bible---Czech---Living-Bible				https://ebible.org/pdf/ceslb/ceslb_all.pdf	Holy-Bible---Czech---Living-Bible---Source-Edition.pdf
Holy-Bible---Czech---Living-Bible				https://ebible.org/sword/zip/ceslb2012eb.zip	Holy-Bible---Czech---Living-Bible---Source-Edition.SWORD.zip
Holy-Bible---Czech---Living-Bible				https://ebible.org/Scriptures/ceslb_vpl.zip	Holy-Bible---Czech---Living-Bible---Source-Edition.VPL.zip
Holy-Bible---Danish---Danish-1871-1907	SWORD			https://crosswire.org/ftpmirror/pub/sword/packages/rawzip/DaOT1871NT1907.zip	Holy-Bible---Danish---Danish-1871-1907---Source-Edition.SWORD.zip
Holy-Bible---Danish---Danish-1931-1907	SWORD			https://crosswire.org/ftpmirror/pub/sword/packages/rawzip/DaOT1931NT1907.zip	Holy-Bible---Danish---Danish-1931-1907---Source-Edition.SWORD.zip
Holy-Bible---Danish---Danish-Bible				https://crosswire.org/ftpmirror/pub/sword/packages/rawzip/DaOT1931NT1907.zip	Holy-Bible---Danish---Danish-Bible---Source-Edition.SWORD.zip
Holy-Bible---Danish---Danish-Bible				./aion_source/Holy-Bible---Danish---Danish-Bible.unbound.zip	Holy-Bible---Danish---Danish-Bible---Source-Edition.UNBOUND.zip
Holy-Bible---Dawro---Dawuro-Bible				https://ebible.org/epub/dwrl.epub	Holy-Bible---Dawro---Dawuro-Bible---Source-Edition.epub
Holy-Bible---Dawro---Dawuro-Bible				https://ebible.org/pdf/dwrl/dwrl_prt.pdf	Holy-Bible---Dawro---Dawuro-Bible---Source-Edition.pdf
Holy-Bible---Dawro---Dawuro-Bible				https://ebible.org/sword/zip/dwrl2024eb.zip	Holy-Bible---Dawro---Dawuro-Bible---Source-Edition.SWORD.zip
Holy-Bible---Dawro---Dawuro-Bible				https://ebible.org/Scriptures/dwrl_vpl.zip	Holy-Bible---Dawro---Dawuro-Bible---Source-Edition.VPL.zip
Holy-Bible---Desiya---Desiya-Bible				https://ebible.org/epub/dso.epub	Holy-Bible---Desiya---Desiya-Bible---Source-Edition.epub
Holy-Bible---Desiya---Desiya-Bible				https://ebible.org/pdf/dso/dso_all.pdf	Holy-Bible---Desiya---Desiya-Bible---Source-Edition.pdf
Holy-Bible---Desiya---Desiya-Bible				https://ebible.org/sword/zip/dso2020eb.zip	Holy-Bible---Desiya---Desiya-Bible---Source-Edition.SWORD.zip
Holy-Bible---Desiya---Desiya-Bible				https://ebible.org/Scriptures/dso_vpl.zip	Holy-Bible---Desiya---Desiya-Bible---Source-Edition.VPL.zip
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible				https://ebible.org/epub/dhn.epub	Holy-Bible---Dhanki---Dhanki-Devanagari-Bible---Source-Edition.epub
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible				https://ebible.org/pdf/dhn/dhn_prt.pdf	Holy-Bible---Dhanki---Dhanki-Devanagari-Bible---Source-Edition.pdf
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible				https://ebible.org/sword/zip/dhn2020eb.zip	Holy-Bible---Dhanki---Dhanki-Devanagari-Bible---Source-Edition.SWORD.zip
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible				https://ebible.org/Scriptures/dhn_vpl.zip	Holy-Bible---Dhanki---Dhanki-Devanagari-Bible---Source-Edition.VPL.zip
Holy-Bible---Dholuo---Dholuo-Bible				https://ebible.org/epub/luo.epub	Holy-Bible---Dholuo---Dholuo-Bible---Source-Edition.epub
Holy-Bible---Dholuo---Dholuo-Bible				https://ebible.org/pdf/luo/luo_all.pdf	Holy-Bible---Dholuo---Dholuo-Bible---Source-Edition.pdf
Holy-Bible---Dholuo---Dholuo-Bible				https://ebible.org/sword/zip/luo2020eb.zip	Holy-Bible---Dholuo---Dholuo-Bible---Source-Edition.SWORD.zip
Holy-Bible---Dholuo---Dholuo-Bible				https://ebible.org/Scriptures/luo_vpl.zip	Holy-Bible---Dholuo---Dholuo-Bible---Source-Edition.VPL.zip
Holy-Bible---Dombe---Dombe-Bible				https://ebible.org/epub/dov.epub	Holy-Bible---Dombe---Dombe-Bible---Source-Edition.epub
Holy-Bible---Dombe---Dombe-Bible				https://ebible.org/pdf/dov/dov_all.pdf	Holy-Bible---Dombe---Dombe-Bible---Source-Edition.pdf
Holy-Bible---Dombe---Dombe-Bible				https://eBible.org/sword/zip/dov2020eb.zip	Holy-Bible---Dombe---Dombe-Bible---Source-Edition.SWORD.zip
Holy-Bible---Dombe---Dombe-Bible				https://ebible.org/Scriptures/dov_vpl.zip	Holy-Bible---Dombe---Dombe-Bible---Source-Edition.VPL.zip
Holy-Bible---Dongxiang---Donxian-Bible				https://ebible.org/epub/sce.epub	Holy-Bible---Dongxiang---Donxian-Bible---Source-Edition.epub
Holy-Bible---Dongxiang---Donxian-Bible				https://ebible.org/pdf/sce/sce_prt.pdf	Holy-Bible---Dongxiang---Donxian-Bible---Source-Edition.pdf
Holy-Bible---Dongxiang---Donxian-Bible				https://ebible.org/sword/zip/sceeb.zip	Holy-Bible---Dongxiang---Donxian-Bible---Source-Edition.SWORD.zip
Holy-Bible---Dongxiang---Donxian-Bible				https://ebible.org/Scriptures/sce_vpl.zip	Holy-Bible---Dongxiang---Donxian-Bible---Source-Edition.VPL.zip
Holy-Bible---Dutch---Canisiusvertaling				https://ebible.org/epub/nld1939.epub	Holy-Bible---Dutch---Canisiusvertaling---Source-Edition.epub
Holy-Bible---Dutch---Canisiusvertaling				https://ebible.org/pdf/nld1939/nld1939_all.pdf	Holy-Bible---Dutch---Canisiusvertaling---Source-Edition.pdf
Holy-Bible---Dutch---Canisiusvertaling	SWORD			https://crosswire.org/ftpmirror/pub/sword/packages/rawzip/NlCanisius1939.zip	Holy-Bible---Dutch---Canisiusvertaling---Source-Edition.SWORD.zip
