BIBLE	MAP
Holy-Bible---English---Catholic-Public-Domain	DAN100
Holy-Bible---English---Catholic-Public-Domain	HOS13-14
Holy-Bible---English---Catholic-Public-Domain	JON1-2
Holy-Bible---English---Catholic-Public-Domain	HAG1-2
Holy-Bible---English---Catholic-Public-Domain	MAR8-9
Holy-Bible---English---Darby-Translation	NONE
Holy-Bible---English---Douay-Rheims-1899	GEN49
Holy-Bible---English---Douay-Rheims-1899	EXO40
Holy-Bible---English---Douay-Rheims-1899	NUM12-13
Holy-Bible---English---Douay-Rheims-1899	JOS21
Holy-Bible---English---Douay-Rheims-1899	JOB39-40-41-42
Holy-Bible---English---Douay-Rheims-1899	PRO2
Holy-Bible---English---Douay-Rheims-1899	PRO5
Holy-Bible---English---Douay-Rheims-1899	PSA150
Holy-Bible---English---Douay-Rheims-1899	SOL1
Holy-Bible---English---Douay-Rheims-1899	DAN100
Holy-Bible---English---Douay-Rheims-1899	HAG1-2
Holy-Bible---English---Douay-Rheims-1899	MAR8-9
Holy-Bible---English---Family-35-NT	NONE
Holy-Bible---English---Free-Bible-Version	NONE
Holy-Bible---English---Geneva-Bible	NUM12-13
Holy-Bible---English---Geneva-Bible	NUM29-30
Holy-Bible---English---Geneva-Bible	1SA23-24
Holy-Bible---English---Geneva-Bible	JOB38-39-40-41
Holy-Bible---English---Geneva-Bible	ECC4-5
Holy-Bible---English---Geneva-Bible	ECC6-7B
Holy-Bible---English---Geneva-Bible	SOL1
Holy-Bible---English---Geneva-Bible	SOL5-6
Holy-Bible---English---Geneva-Bible	DAN3-4
Holy-Bible---English---Geneva-Bible	HOS13-14
Holy-Bible---English---Geneva-Bible	HAG1-2
Holy-Bible---English---Godbey-Bible	NONE
Holy-Bible---English---Gods-Living-Word	NONE
Holy-Bible---English---Haweis-Bible	NONE
Holy-Bible---English---Jewish-Bible	NONE
Holy-Bible---English---King-James-Version	NONE
Holy-Bible---English---King-James-Version-American	NONE
Holy-Bible---English---King-James-Version-Cambridge	NONE
Holy-Bible---English---King-James-Version-Restored-Name	NONE
Holy-Bible---English---King-James-Version-Revised	NONE
Holy-Bible---English---King-James-Version-Updated	NONE
Holy-Bible---English---Leeser-Tanakh	NONE
Holy-Bible---English---Literal-Standard	NONE
Holy-Bible---English---Living-Oracles-NT	NONE
Holy-Bible---English---LXX2012-U-S-English	GEN37
Holy-Bible---English---LXX2012-U-S-English	XJER
Holy-Bible---English---LXX2012-U-S-English	NUM12-13
Holy-Bible---English---LXX2012-U-S-English	JOS21
Holy-Bible---English---LXX2012-U-S-English	JOB39-40-41-42B
Holy-Bible---English---LXX2012-U-S-English	PRO2
Holy-Bible---English---LXX2012-U-S-English	PRO5
Holy-Bible---English---LXX2012-U-S-English	PRO6
Holy-Bible---English---LXX2012-U-S-English	PSA2
Holy-Bible---English---Majority-Standard-Bible	NONE
