INDEX	BOOK	CHAPTER	VERSE	INDEX2	BOOK2	CHAPTER2	VERSE2	NOTE
050	PHI	001	014	050	PHI	001	015	
050	PHI	001	015	050	PHI	001	016	
050	PHI	001	016	050	PHI	001	017	
050	PHI	001	017	050	PHI	001	018	
050	PHI	001	018	050	PHI	001	019	
050	PHI	001	019	050	PHI	001	020	
050	PHI	001	020	050	PHI	001	021	
050	PHI	001	021	050	PHI	001	022	
050	PHI	001	022	050	PHI	001	023	
050	PHI	001	023	050	PHI	001	024	
050	PHI	001	024	050	PHI	001	025	
050	PHI	001	025	050	PHI	001	026	
050	PHI	001	026	050	PHI	001	027	
050	PHI	001	027	050	PHI	001	028	
050	PHI	001	028	050	PHI	001	029	
050	PHI	001	029	050	PHI	001	030	
050	PHI	001	030	050	PHI	002	001	
050	PHI	002	001	050	PHI	002	002	
050	PHI	002	002	050	PHI	002	003	
050	PHI	002	003	050	PHI	002	004	
050	PHI	002	004	050	PHI	002	005	
050	PHI	002	005	050	PHI	002	006	
050	PHI	002	006	050	PHI	002	007	
050	PHI	002	007	050	PHI	002	008	
050	PHI	002	008	050	PHI	002	009	
050	PHI	002	009	050	PHI	002	010	
050	PHI	002	010	050	PHI	002	011	
050	PHI	002	011	050	PHI	002	012	
050	PHI	002	012	050	PHI	002	013	
050	PHI	002	013	050	PHI	002	014	
050	PHI	002	014	050	PHI	002	015	
050	PHI	002	015	050	PHI	002	016	
050	PHI	002	016	050	PHI	002	017	
050	PHI	002	017	050	PHI	002	018	
050	PHI	002	018	050	PHI	002	019	
050	PHI	002	019	050	PHI	002	020	
050	PHI	002	020	050	PHI	002	021	
050	PHI	002	021	050	PHI	002	022	
050	PHI	002	022	050	PHI	002	023	
050	PHI	002	023	050	PHI	002	024	
050	PHI	002	024	050	PHI	002	025	
050	PHI	002	025	050	PHI	002	026	
050	PHI	002	026	050	PHI	002	027	
050	PHI	002	027	050	PHI	002	028	
050	PHI	002	028	050	PHI	002	029	
050	PHI	002	029	050	PHI	002	030	
050	PHI	002	030	050	PHI	003	001	
050	PHI	003	001	050	PHI	003	002	
050	PHI	003	002	050	PHI	003	003	
050	PHI	003	003	050	PHI	003	004	
050	PHI	003	004	050	PHI	003	005	
050	PHI	003	005	050	PHI	003	006	
050	PHI	003	006	050	PHI	003	007	
050	PHI	003	007	050	PHI	003	008	
050	PHI	003	008	050	PHI	003	009	
050	PHI	003	009	050	PHI	003	010	
050	PHI	003	010	050	PHI	003	011	
050	PHI	003	011	050	PHI	003	012	
050	PHI	003	012	050	PHI	003	013	
050	PHI	003	013	050	PHI	003	014	
050	PHI	003	014	050	PHI	003	015	
050	PHI	003	015	050	PHI	003	016	
050	PHI	003	016	050	PHI	003	017	
050	PHI	003	017	050	PHI	003	018	
050	PHI	003	018	050	PHI	003	019	
050	PHI	003	019	050	PHI	003	020	
050	PHI	003	020	050	PHI	003	021	
050	PHI	003	021	050	PHI	004	001	
050	PHI	004	001	050	PHI	004	002	
050	PHI	004	002	050	PHI	004	003	
050	PHI	004	003	050	PHI	004	004	
050	PHI	004	004	050	PHI	004	005	
050	PHI	004	005	050	PHI	004	006	
050	PHI	004	006	050	PHI	004	007	
050	PHI	004	007	050	PHI	004	008	
050	PHI	004	008	050	PHI	004	009	
050	PHI	004	009	050	PHI	004	010	
050	PHI	004	010	050	PHI	004	011	
050	PHI	004	011	050	PHI	004	012	
050	PHI	004	012	050	PHI	004	013	
050	PHI	004	013	050	PHI	004	014	
050	PHI	004	014	050	PHI	004	015	
050	PHI	004	015	050	PHI	004	016	
050	PHI	004	016	050	PHI	004	017	
050	PHI	004	017	050	PHI	004	018	
050	PHI	004	018	050	PHI	004	019	
050	PHI	004	019	050	PHI	004	020	
050	PHI	004	020	050	PHI	004	021	
050	PHI	004	021	050	PHI	004	022	
050	PHI	004	022	050	PHI	004	023	
050	PHI	004	023	051	COL	001	001	
051	COL	001	001	051	COL	001	002	
051	COL	001	002	051	COL	001	003	
051	COL	001	003	051	COL	001	004	
051	COL	001	004	051	COL	001	005	
051	COL	001	005	051	COL	001	006	
051	COL	001	006	051	COL	001	007	
051	COL	001	007	051	COL	001	008	
051	COL	001	008	051	COL	001	009	
051	COL	001	009	051	COL	001	010	
051	COL	001	010	051	COL	001	011	
051	COL	001	011	051	COL	001	012	
051	COL	001	012	051	COL	001	013	
051	COL	001	013	051	COL	001	014	
051	COL	001	014	051	COL	001	015	
051	COL	001	015	051	COL	001	016	
051	COL	001	016	051	COL	001	017	
051	COL	001	017	051	COL	001	018	
051	COL	001	018	051	COL	001	019	
051	COL	001	019	051	COL	001	020	
051	COL	001	020	051	COL	001	021	
051	COL	001	021	051	COL	001	022	
051	COL	001	022	051	COL	001	023	
051	COL	001	023	051	COL	001	024	
051	COL	001	024	051	COL	001	025	
051	COL	001	025	051	COL	001	026	
051	COL	001	026	051	COL	001	027	
051	COL	001	027	051	COL	001	028	
051	COL	001	028	051	COL	001	029	
051	COL	001	029	051	COL	002	001	
051	COL	002	001	051	COL	002	002	
051	COL	002	002	051	COL	002	003	
051	COL	002	003	051	COL	002	004	
051	COL	002	004	051	COL	002	005	
051	COL	002	005	051	COL	002	006	
051	COL	002	006	051	COL	002	007	
051	COL	002	007	051	COL	002	008	
051	COL	002	008	051	COL	002	009	
051	COL	002	009	051	COL	002	010	
051	COL	002	010	051	COL	002	011	
051	COL	002	011	051	COL	002	012	
051	COL	002	012	051	COL	002	013	
051	COL	002	013	051	COL	002	014	
051	COL	002	014	051	COL	002	015	
051	COL	002	015	051	COL	002	016	
051	COL	002	016	051	COL	002	017	
051	COL	002	017	051	COL	002	018	
051	COL	002	018	051	COL	002	019	
051	COL	002	019	051	COL	002	020	
051	COL	002	020	051	COL	002	021	
051	COL	002	021	051	COL	002	022	
051	COL	002	022	051	COL	002	023	
051	COL	002	023	051	COL	003	001	
051	COL	003	001	051	COL	003	002	
051	COL	003	002	051	COL	003	003	
051	COL	003	003	051	COL	003	004	
051	COL	003	004	051	COL	003	005	
051	COL	003	005	051	COL	003	006	
051	COL	003	006	051	COL	003	007	
051	COL	003	007	051	COL	003	008	
051	COL	003	008	051	COL	003	009	
051	COL	003	009	051	COL	003	010	
051	COL	003	010	051	COL	003	011	
051	COL	003	011	051	COL	003	012	
051	COL	003	012	051	COL	003	013	
051	COL	003	013	051	COL	003	014	
051	COL	003	014	051	COL	003	015	
051	COL	003	015	051	COL	003	016	
051	COL	003	016	051	COL	003	017	
051	COL	003	017	051	COL	003	018	
051	COL	003	018	051	COL	003	019	
051	COL	003	019	051	COL	003	020	
051	COL	003	020	051	COL	003	021	
051	COL	003	021	051	COL	003	022	
051	COL	003	022	051	COL	003	023	
051	COL	003	023	051	COL	003	024	
051	COL	003	024	051	COL	003	025	
051	COL	003	025	051	COL	004	001	
051	COL	004	001	051	COL	004	002	
051	COL	004	002	051	COL	004	003	
051	COL	004	003	051	COL	004	004	
051	COL	004	004	051	COL	004	005	
051	COL	004	005	051	COL	004	006	
051	COL	004	006	051	COL	004	007	
051	COL	004	007	051	COL	004	008	
051	COL	004	008	051	COL	004	009	
051	COL	004	009	051	COL	004	010	
051	COL	004	010	051	COL	004	011	
051	COL	004	011	051	COL	004	012	
051	COL	004	012	051	COL	004	013	
051	COL	004	013	051	COL	004	014	
051	COL	004	014	051	COL	004	015	
051	COL	004	015	051	COL	004	016	
051	COL	004	016	051	COL	004	017	
051	COL	004	017	051	COL	004	018	
051	COL	004	018	052	1TH	001	001	
052	1TH	001	001	052	1TH	001	002	
052	1TH	001	002	052	1TH	001	003	
052	1TH	001	003	052	1TH	001	004	
052	1TH	001	004	052	1TH	001	005	
052	1TH	001	005	052	1TH	001	006	
052	1TH	001	006	052	1TH	001	007	
052	1TH	001	007	052	1TH	001	008	
052	1TH	001	008	052	1TH	001	009	
052	1TH	001	009	052	1TH	001	010	
052	1TH	001	010	052	1TH	002	001	
052	1TH	002	001	052	1TH	002	002	
052	1TH	002	002	052	1TH	002	003	
052	1TH	002	003	052	1TH	002	004	
052	1TH	002	004	052	1TH	002	005	
052	1TH	002	005	052	1TH	002	006	
052	1TH	002	006	052	1TH	002	007	
052	1TH	002	007	052	1TH	002	008	
052	1TH	002	008	052	1TH	002	009	
052	1TH	002	009	052	1TH	002	010	
052	1TH	002	010	052	1TH	002	011	
052	1TH	002	011	052	1TH	002	012	
052	1TH	002	012	052	1TH	002	013	
052	1TH	002	013	052	1TH	002	014	
052	1TH	002	014	052	1TH	002	015	
052	1TH	002	015	052	1TH	002	016	
052	1TH	002	016	052	1TH	002	017	
052	1TH	002	017	052	1TH	002	018	
052	1TH	002	018	052	1TH	002	019	
052	1TH	002	019	052	1TH	002	020	
052	1TH	002	020	052	1TH	003	001	
052	1TH	003	001	052	1TH	003	002	
052	1TH	003	002	052	1TH	003	003	
052	1TH	003	003	052	1TH	003	004	
052	1TH	003	004	052	1TH	003	005	
052	1TH	003	005	052	1TH	003	006	
052	1TH	003	006	052	1TH	003	007	
052	1TH	003	007	052	1TH	003	008	
052	1TH	003	008	052	1TH	003	009	
052	1TH	003	009	052	1TH	003	010	
052	1TH	003	010	052	1TH	003	011	
052	1TH	003	011	052	1TH	003	012	
052	1TH	003	012	052	1TH	003	013	
052	1TH	003	013	052	1TH	004	001	
052	1TH	004	001	052	1TH	004	002	
052	1TH	004	002	052	1TH	004	003	
052	1TH	004	003	052	1TH	004	004	
052	1TH	004	004	052	1TH	004	005	
052	1TH	004	005	052	1TH	004	006	
052	1TH	004	006	052	1TH	004	007	
052	1TH	004	007	052	1TH	004	008	
052	1TH	004	008	052	1TH	004	009	
052	1TH	004	009	052	1TH	004	010	
052	1TH	004	010	052	1TH	004	011	
052	1TH	004	011	052	1TH	004	012	
052	1TH	004	012	052	1TH	004	013	
052	1TH	004	013	052	1TH	004	014	
052	1TH	004	014	052	1TH	004	015	
052	1TH	004	015	052	1TH	004	016	
052	1TH	004	016	052	1TH	004	017	
052	1TH	004	017	052	1TH	004	018	
052	1TH	004	018	052	1TH	005	001	
052	1TH	005	001	052	1TH	005	002	
052	1TH	005	002	052	1TH	005	003	
052	1TH	005	003	052	1TH	005	004	
052	1TH	005	004	052	1TH	005	005	
052	1TH	005	005	052	1TH	005	006	
052	1TH	005	006	052	1TH	005	007	
052	1TH	005	007	052	1TH	005	008	
052	1TH	005	008	052	1TH	005	009	
052	1TH	005	009	052	1TH	005	010	
052	1TH	005	010	052	1TH	005	011	
052	1TH	005	011	052	1TH	005	012	
052	1TH	005	012	052	1TH	005	013	
052	1TH	005	013	052	1TH	005	014	
052	1TH	005	014	052	1TH	005	015	
052	1TH	005	015	052	1TH	005	016	
052	1TH	005	016	052	1TH	005	017	
052	1TH	005	017	052	1TH	005	018	
052	1TH	005	018	052	1TH	005	019	
052	1TH	005	019	052	1TH	005	020	
052	1TH	005	020	052	1TH	005	021	
052	1TH	005	021	052	1TH	005	022	
052	1TH	005	022	052	1TH	005	023	
052	1TH	005	023	052	1TH	005	024	
052	1TH	005	024	052	1TH	005	025	
052	1TH	005	025	052	1TH	005	026	
052	1TH	005	026	052	1TH	005	027	
052	1TH	005	027	052	1TH	005	028	
052	1TH	005	028	053	2TH	001	001	
053	2TH	001	001	053	2TH	001	002	
053	2TH	001	002	053	2TH	001	003	
053	2TH	001	003	053	2TH	001	004	
053	2TH	001	004	053	2TH	001	005	
053	2TH	001	005	053	2TH	001	006	
053	2TH	001	006	053	2TH	001	007	
053	2TH	001	007	053	2TH	001	008	
053	2TH	001	008	053	2TH	001	009	
053	2TH	001	009	053	2TH	001	010	
053	2TH	001	010	053	2TH	001	011	
053	2TH	001	011	053	2TH	001	012	
053	2TH	001	012	053	2TH	002	001	
053	2TH	002	001	053	2TH	002	002	
053	2TH	002	002	053	2TH	002	003	
053	2TH	002	003	053	2TH	002	004	
053	2TH	002	004	053	2TH	002	005	
053	2TH	002	005	053	2TH	002	006	
053	2TH	002	006	053	2TH	002	007	
053	2TH	002	007	053	2TH	002	008	
053	2TH	002	008	053	2TH	002	009	
053	2TH	002	009	053	2TH	002	010	
053	2TH	002	010	053	2TH	002	011	
053	2TH	002	011	053	2TH	002	012	
053	2TH	002	012	053	2TH	002	013	
053	2TH	002	013	053	2TH	002	014	
053	2TH	002	014	053	2TH	002	015	
053	2TH	002	015	053	2TH	002	016	
053	2TH	002	016	053	2TH	002	017	
053	2TH	002	017	053	2TH	003	001	
053	2TH	003	001	053	2TH	003	002	
053	2TH	003	002	053	2TH	003	003	
053	2TH	003	003	053	2TH	003	004	
053	2TH	003	004	053	2TH	003	005	
053	2TH	003	005	053	2TH	003	006	
053	2TH	003	006	053	2TH	003	007	
053	2TH	003	007	053	2TH	003	008	
053	2TH	003	008	053	2TH	003	009	
053	2TH	003	009	053	2TH	003	010	
053	2TH	003	010	053	2TH	003	011	
053	2TH	003	011	053	2TH	003	012	
053	2TH	003	012	053	2TH	003	013	
053	2TH	003	013	053	2TH	003	014	
053	2TH	003	014	053	2TH	003	015	
053	2TH	003	015	053	2TH	003	016	
053	2TH	003	016	053	2TH	003	017	
053	2TH	003	017	053	2TH	003	018	
053	2TH	003	018	054	1TI	001	001	
054	1TI	001	001	054	1TI	001	002	
054	1TI	001	002	054	1TI	001	003	
054	1TI	001	003	054	1TI	001	004	
054	1TI	001	004	054	1TI	001	005	
054	1TI	001	005	054	1TI	001	006	
054	1TI	001	006	054	1TI	001	007	
054	1TI	001	007	054	1TI	001	008	
054	1TI	001	008	054	1TI	001	009	
054	1TI	001	009	054	1TI	001	010	
054	1TI	001	010	054	1TI	001	011	
054	1TI	001	011	054	1TI	001	012	
054	1TI	001	012	054	1TI	001	013	
054	1TI	001	013	054	1TI	001	014	
054	1TI	001	014	054	1TI	001	015	
054	1TI	001	015	054	1TI	001	016	
054	1TI	001	016	054	1TI	001	017	
054	1TI	001	017	054	1TI	001	018	
054	1TI	001	018	054	1TI	001	019	
054	1TI	001	019	054	1TI	001	020	
054	1TI	001	020	054	1TI	002	001	
054	1TI	002	001	054	1TI	002	002	
054	1TI	002	002	054	1TI	002	003	
054	1TI	002	003	054	1TI	002	004	
054	1TI	002	004	054	1TI	002	005	
054	1TI	002	005	054	1TI	002	006	
