BIBLE	INDEX	BOOK	CHAPTER	VERSE	WORD	STRONGS	UNTRANS	TEXT
Holy-Bible---Baiso---Basio-Bible	042	LUK	001	055	SKIP			NULL
Holy-Bible---Baiso---Basio-Bible	058	HEB	007	020	AIONS	g165		NULL
Holy-Bible---Baiso---Basio-Bible	058	HEB	007	021	SKIP			NULL
Holy-Bible---Baiso---Basio-Bible								NULL
Holy-Bible---Bangwinji---Bangwinji-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Bangwinji---Bangwinji-Bible								NULL
Holy-Bible---Bareli-Palya---Palya-Bareli-Bible								NULL
Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible								NULL
Holy-Bible---Basque---Basque-NT	061	2PE	002	017	NOTE			questioned
Holy-Bible---Basque---Basque-NT								NULL
Holy-Bible---Beami---Bedamuni-Bible	001	GEN	044	030	SHEOL	h7585		NULL
Holy-Bible---Beami---Bedamuni-Bible	001	GEN	044	031	SKIP			NULL
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	007	009	SKIP			NULL
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	007	010	SHEOL	h7585		NULL
Holy-Bible---Beami---Bedamuni-Bible	058	HEB	006	001	AIONIAN	g166		NULL
Holy-Bible---Beami---Bedamuni-Bible	058	HEB	006	002	SKIP			NULL
Holy-Bible---Beami---Bedamuni-Bible	058	HEB	013	020	AIONS,AIONIAN	g165,g166		NULL
Holy-Bible---Beami---Bedamuni-Bible	058	HEB	013	021	SKIP			NULL
Holy-Bible---Beami---Bedamuni-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Beami---Bedamuni-Bible								NULL
Holy-Bible---Beaver---Beaver-Mark	061	2PE	002	017	NOTE			questioned
Holy-Bible---Beaver---Beaver-Mark								NULL
Holy-Bible---Bekwel---Bekwel-Bible								NULL
Holy-Bible---Bengali---Bengali-Bible								NULL
Holy-Bible---Bengali---Contemporary								NULL
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible								NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	049	EPH	006	011	AIONS	g165		NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	049	EPH	006	012	SKIP			NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	058	HEB	009	025	AIONS	g165		NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	058	HEB	009	026	SKIP			NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	058	HEB	013	020	AIONS,AIONIAN	g165,g166		NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	058	HEB	013	021	SKIP			NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	065	JUD	001	024	AIONS	g165		NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	065	JUD	001	025	SKIP			NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	066	REV	001	005	AIONS	g165		NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	066	REV	001	006	SKIP			NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	066	REV	015	006	AIONS	g165		NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	066	REV	015	007	SKIP			NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	066	REV	020	002	ABYSS	g12		NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	066	REV	020	003	SKIP			NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	066	REV	020	012	HADES	g86		NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	066	REV	020	013	SKIP			NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible								NULL
Holy-Bible---Bhilali---Bhilali-Bible								NULL
Holy-Bible---Blackfoot---Matthew								NULL
Holy-Bible---Bodo-Parja---BOPO-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Bodo-Parja---BOPO-Bible								NULL
Holy-Bible---Boga---Boga-Bible								NULL
Holy-Bible---Bondei---Bondei-Bible								NULL
Holy-Bible---Borna---Borna-Latin-Bible	042	LUK	001	054	AIONS	g165		NULL
Holy-Bible---Borna---Borna-Latin-Bible	042	LUK	001	055	SKIP			NULL
Holy-Bible---Borna---Borna-Latin-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Borna---Borna-Latin-Bible								NULL
Holy-Bible---Breton---Breton-Gospels	061	2PE	002	017	NOTE			questioned
Holy-Bible---Breton---Breton-Gospels								NULL
Holy-Bible---Bu---Bauchi-Bu-Bible								NULL
Holy-Bible---Bu---Bu-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Bu---Bu-Bible								NULL
Holy-Bible---Bugun---Bugun-Bible	058	HEB	013	020	AIONS,AIONIAN	g165,g166		NULL
Holy-Bible---Bugun---Bugun-Bible	058	HEB	013	021	SKIP			NULL
Holy-Bible---Bugun---Bugun-Bible								NULL
Holy-Bible---Bulgarian---Bulgarian-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Bulgarian---Bulgarian-Bible								NULL
Holy-Bible---Bwile---Bwile-Bible								NULL
Holy-Bible---Calo---Calo-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Calo---Calo-Bible								NULL
Holy-Bible---Cebuano---Cebuano-Bible								NULL
Holy-Bible---Cebuano---Cebuano-Open-Bible	019	PSA	018	004	SHEOL	h7585		NULL
