# File Name: UNTRANSLATECOUNT.txt
# File Size: 53448       
# File Date: 01/01/2026 19:06:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	ELEESE	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Safwa---Safwa-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Sakachep---Sakachep-Bible	0	0	0	12	1	11	9	1	5	93	62	12	2	0	2	0	208	200	199	1	64	0	1
Holy-Bible---Sanga---Sanga-Bible	0	0	0	8	0	4	1	0	0	14	8	2	0	0	0	0	37	36	36	0	228	0	0
Holy-Bible---Sankaran-Maninka---Alla-la-Kitabu-Seniman	0	0	5	9	0	6	1	1	0	46	36	6	1	0	0	0	111	108	108	0	156	0	0
Holy-Bible---Sanskrit---Assamese-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Bengali-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Burmese-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Cologne-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Devanagari-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Gujarati-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Harvard-Kyoto-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
