# File Name: UNTRANSLATEREVERSE.txt
# File Size: 11866416    
# File Date: 08/22/2026 15:09:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	INDEXX	BOOKX	CHAPTERX	VERSEX
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	021	040	MAT	016	020
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	022	040	MAT	016	021
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	023	040	MAT	016	022
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	024	040	MAT	016	023
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	025	040	MAT	016	024
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	026	040	MAT	016	025
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	027	040	MAT	016	026
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	028	040	MAT	016	027
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	015	040	MAT	023	014
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	016	040	MAT	023	015
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	017	040	MAT	023	016
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	018	040	MAT	023	017
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	019	040	MAT	023	018
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	020	040	MAT	023	019
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	021	040	MAT	023	020
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	022	040	MAT	023	021
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	023	040	MAT	023	022
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	024	040	MAT	023	023
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	025	040	MAT	023	024
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	026	040	MAT	023	025
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	027	040	MAT	023	026
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	028	040	MAT	023	027
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	029	040	MAT	023	028
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	030	040	MAT	023	029
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	031	040	MAT	023	030
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	032	040	MAT	023	031
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	033	040	MAT	023	032
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	034	040	MAT	023	033
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	035	040	MAT	023	034
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	036	040	MAT	023	035
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	037	040	MAT	023	036
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	038	040	MAT	023	037
